2021-02-09 09:52:24,989 baseline INFO: Running with config:
baseline
2021-02-09 09:52:32,690 baseline.train INFO: start training
2021-02-09 11:27:32,741 baseline.train INFO: Epoch[1] Iteration[2150/3385] Loss: 0.244, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:29:45,323 baseline.train INFO: Epoch[1] Iteration[2200/3385] Loss: 0.243, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:31:58,036 baseline.train INFO: Epoch[1] Iteration[2250/3385] Loss: 0.243, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:34:09,821 baseline.train INFO: Epoch[1] Iteration[2300/3385] Loss: 0.243, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:36:20,657 baseline.train INFO: Epoch[1] Iteration[2350/3385] Loss: 0.242, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:38:36,601 baseline.train INFO: Epoch[1] Iteration[2400/3385] Loss: 0.241, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:40:51,139 baseline.train INFO: Epoch[1] Iteration[2450/3385] Loss: 0.241, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:43:03,052 baseline.train INFO: Epoch[1] Iteration[2500/3385] Loss: 0.241, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:45:13,772 baseline.train INFO: Epoch[1] Iteration[2550/3385] Loss: 0.241, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:47:22,414 baseline.train INFO: Epoch[1] Iteration[2600/3385] Loss: 0.240, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:49:32,648 baseline.train INFO: Epoch[1] Iteration[2650/3385] Loss: 0.240, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:51:46,947 baseline.train INFO: Epoch[1] Iteration[2700/3385] Loss: 0.240, Acc: 0.899, Base Lr: 3.82e-05
2021-02-09 11:53:57,908 baseline.train INFO: Epoch[1] Iteration[2750/3385] Loss: 0.240, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:56:06,740 baseline.train INFO: Epoch[1] Iteration[2800/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 11:58:16,466 baseline.train INFO: Epoch[1] Iteration[2850/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:00:31,011 baseline.train INFO: Epoch[1] Iteration[2900/3385] Loss: 0.240, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:02:45,540 baseline.train INFO: Epoch[1] Iteration[2950/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:05:01,156 baseline.train INFO: Epoch[1] Iteration[3000/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:07:11,914 baseline.train INFO: Epoch[1] Iteration[3050/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:09:24,591 baseline.train INFO: Epoch[1] Iteration[3100/3385] Loss: 0.239, Acc: 0.900, Base Lr: 3.82e-05
2021-02-09 12:11:38,488 baseline.train INFO: Epoch[1] Iteration[3150/3385] Loss: 0.238, Acc: 0.900, Base Lr: 3.82e-05
